Actual Cap Rate,Age,Asking Price,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Bldg SF,Building Class,Building Condition,Building Materials,Buyer (True) Address,Buyer (True) City,Buyer (True) Company,Buyer (True) Contact,Buyer (True) Phone,Buyer (True) Post-Direction,Buyer (True) Pre-Direction,Buyer (True) State,Buyer (True) Street Name,Buyer (True) Street Number,Buyer (True) Zip Code,Buyer Address,Buyer City,Buyer Company,Buyer Contact,Buyer Phone,Buyer State,Buyer Street Name,Buyer Street Number,Buyer Street Post-Direction,Buyer Street Pre-Direction,Buyer Zip Code,Buyers Broker Address,Buyers Broker Agent First Name,Buyers Broker Agent Last Name,Buyers Broker City,Buyers Broker Company,Buyers Broker Phone,Buyers Broker State,Buyers Broker Street Name,Buyers Broker Street Number,Buyers Broker Street Post-Direction,Buyers Broker Street Pre-Direction,Buyers Broker Zip Code,Ceiling Height,Comp ID,Comps Number,Corner,Coverage,Description Text,Document Number,Down Payment,Fire Sprinkler,First Trust Deed Balance,First Trust Deed Lender,First Trust Deed Payment,First Trust Deed Terms,Floor Area Ratio,Frontage,GIM,GRM,Gross Income,Improvement Ratio,Land Area AC,Land Area SF,Land Improvements,Land SF Gross,Land SF Net,Latitude,Legal Description,Listing Broker Address,Listing Broker Agent First Name,Listing Broker Agent Last Name,Listing Broker City,Listing Broker Company,Listing Broker Phone,Listing Broker State,Listing Broker Street Name,Listing Broker Street Number,Listing Broker Street Post-Direction,Listing Broker Street Pre-Direction,Listing Broker Zip Code,Loading Docks,Longitude,Lot Dimensions,Map Code,Map Page,Map X,Map Y,Market,Market Time,Multi-Sale Name,Net Income,Non-Arms Length Reasons,Number Of 1 Bedrooms,Number Of 2 Bedrooms,Number Of 3 Bedrooms,Number Of Floors,Number Of Other Bedrooms,Number Of Parking Spaces,Number Of Rooms,Number Of Studios,Number Of Tenants,Number Of Units,One Bedroom Mix,Other Mix,Parcel Number 1,Parcel Number 2,Parking Ratio,Percent Office,Portfolio City,Portfolio County,Portfolio Name,Portfolio State,Portfolio Zip,Power,Price Per AC Land,Price Per AC Land Net,Price Per Room,Price Per SF,Price Per SF (Net),Price Per SF Land,Price Per SF Land Net,Price Per Unit,Pro Forma Cap Rate,Property Address,Property City,Property County,Property Name,Property State,Property Street Name,Property Street Number,Property Street Post-Direction,Property Street Pre-Direction,Property Zip Code,PropertyType,Proposed Use,Publication Date,Rail Served,Recording Date,Research Completed Date,Research Status,Roof Type,Sale Condition,Sale Date,Sale Price,Sale Price Comment,Sale Status,Second Trust Deed Balance,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Secondary Type,Seller (True) Address,Seller (True) City,Seller (True) Company,Seller (True) Contact,Seller (True) Phone,Seller (True) Post-Direction,Seller (True) Pre-Direction,Seller (True) State,Seller (True) Street Name,Seller (True) Street Number,Seller (True) Zip Code,Seller Address,Seller City,Seller Company,Seller Contact,Seller Phone,Seller State,Seller Street Name,Seller Street Number,Seller Street Post-Direction,Seller Street Pre-Direction,Seller Zip Code,Size,Stamp,Star Rating,Studio Mix,Submarket Cluster,Submarket Code,Submarket Name,Tenancy,Three Bedroom Mix,Title Company,Total Expense Amount,Transaction Notes,Transfer Tax,Two Bedroom Mix,Typ Flr (SF),Units Per Acre,Vacancy,Year Built,Zoning
,,,13395121,5113399,18508520,2011,844116,B,,,"5605 N MacArthur Blvd, 350",Irving,"Cobalt Capital Partners, LP",David Broome,9728937000,,N,TX,MacArthur Blvd,5605,75038,"5605 N MacArthur Blvd, 350",Irving,CIR III-1 REIT,,9728937000,TX,MacArthur Blvd,5605,,N,75038,,,,,,,,,,,,,,2576437,,,0.145705389,,,,,,,,,0.147500814,,,,,72,39.19,1707116,,,,32.7864975,,"5430 Lyndon B Johnson Fwy, 1100",Heather,McClain,Dallas,CBRE,9724584800,TX,Lyndon B Johnson Fwy,5430,,,75240,,-97.0548519,,,51,C,D,Dallas/Ft Worth,90,Prologis Portfolio,,,,,,,,158,,,15,,,,6.55396E+11,3745740,,,,,Prologis Portfolio,TX,,,,,,,,,,,,803-809 W North Carrier Pky (6 Properties),,,Prologis Portfolio,TX,North Carrier Pky,803,W,W,,Mixed,,10/15/2012,,,11/6/2012,Research Complete,,Bulk/Portfolio Sale,10/15/2012,27000000,Confirmed,Sold,,,,,Warehouse,2501 N Harwood,Dallas,Prologis LP,Reid Dunbar,9728849292,,N,TX,Harwood,2501,75201,,,,,,,,,,,,844116,,3 Star,,Great SW/Arlington Ind,GUC,Upper Great Southwest Ind,Single,,,,"The sale is a portfolio of six properties in the DFW market. The square footage involved totals 845,000 square feet. The properties are 96% occupied to 14 tenants. The portfolio brings Cobalt Capital's total property ownership to more than 6.5 million SF in North Texas with more than 30 million SF through the U.S. The properties contain no sales conditions that would have affected the sales price, and contain no deferred maintenance. The motivation for the seller was redeploying capital due to the end of their hold period. The motivation for the buyer was great properties in a primary market to add to their Texas holdings A deed is unavailable at this time. A source deemed reliable state the total price at $27 million.",,,248736,,,,
,17,40000000,13268490,6801630,20070120,2011,624473,B,,Reinforced Concrete,300 Satellite Blvd,Suwanee,Quality Technology Services,Christina Lamb,6788355000,,,GA,Satellite Blvd,300,30024,,,,,,,,,,,,"8343 Douglas Ave, 100",Bo,Bond,Dallas,JLL,2144386100,TX,Douglas Ave,8343,,,75225,"20'0""",2677504,,Yes,0.244683423,"Total Site area: 39 acres Total Bldg Space: 660,000 sq. ft. Bldg 1 office space: 58,000 sq. ft. Existing cleanroom space: 63,000 sq. ft. Future cleanroom space: 49,000 sq. ft. Final build-out cleanroom space: 112,193 sq. ft. Central utility plant: 105,000 sq. ft. Raised floor data room: 1,700 sq. ft. Site information: This is a secure site equipped with internal and external cameras, a security control center, and secure fencing with five entrance gates. Heavy floor loading A new roof is available with a 135mm membrane and a 20-year warranty This is a highly secure location with gated perimeter fence, cameras. The site offers two fiber feeds from Verizon (GTE) Facility Overview: Two separate 138Kv feeds come into MaximÉ??s sub-station supplied by Oncor. Two outdoor oil-filled sub-station transformers with automatic tap charger 42/56/70 mega volt ampere, 138,000 volt primary, and 13,800 volt secondary for a maximum load rating of 70MVa can be expanded to 90MVa feeding a double-ended switch. Cooling Capacity:",,,Wet,,,,,0.36731394,,,,,66,39.03,1700107,,,,32.8970731,,15660 N Dallas Pky,Scott,Jessen,Dallas,Citadel Partners LLC,9729802800,TX,Dallas Pky,15660,,N,75248,2,-96.9829938,,21A-GD,21A,G,D,Dallas/Ft Worth,428,,,,,,,3,,340,,,,,,,3.22588E+16,,0.52,9.287831,,,,,,,653358.65,,,40.83,40.83,15,,,,6431 Longhorn Dr,Irving,Dallas,Las Colinas Business Park,TX,Longhorn Dr,6431,,,75063,Industrial,,2/14/2013,,,2/22/2013,Research Complete,,"High Vacancy Property, Redevelopment Project",2/14/2013,25500000,Confirmed,Sold,,,,,Manufacturing,160 Rio Robles,San Jose,"Maxim Integrated Products, Inc.",Rick Kamboj,4086011000,,,CA,Rio Robles,160,95134,,,,,,,,,,,,624473,,2 Star,,DFW Airport Ind,GSY,E DFW Air/Las Colinas Ind,Single,,,,"The sales price was confirmed by a reliable source. The subject property was listed on the market at $40 million, and sold for $25.5 million. The property was vacant at the time of sale. The property contains its own substation that can hold 70 megawatts of dual feed. The property contains no deferred maintenance. The motivation for the seller was they no longer needed property for their use. The motivation for the buyer was plans to convert the facility into a data center. The property sits on approximately 39 acres, which allows the facility to more than double in footprint. A deed is unavailable at this time.",,,415988,,100,1997,"SP-2, Irving"
,10,,0,0,0,2012,250000,B,,Masonry,"245 Park Ave, 26th Floor",New York,"Angelo, Gordon & Co.",John Angelo,2126922000,,,NY,Park Ave,245,10167,"245 Park, 26th Floor",New York,"AHNL Furniture, LLC",Teddy Kaplan,2126922000,NY,Park,245,,,10167,,,,,,,,,,,,,"36'0""",2663350,,,0.270539054,,20120374063,,,,,,,0.271355,,,,,,21.21,924081,,,,32.6873762,MOUNTAIN CRK BUS PK BLDG NO 2 BLK 211/6113 LT 2 ACS 21.214 INT200600268712 DD07202006 CO-DC 6113 211 00200 0DA6113 211,"2100 McKinney Ave, 700-900",Jack,Fraker,Dallas,CBRE,2149796100,TX,McKinney Ave,2100,,,75201,24,-96.9647151,,,,,,Dallas/Ft Worth,,,,,,,,1,,417,,,1,,,,6.11302E+14,,1.5,,,,,,,,893278.02,,,75.8,75.8,20.51,,,,4501 Mountain Creek Pky,Dallas,Dallas,American Leather,TX,Mountain Creek Pky,4501,,,75236,Industrial,,1/29/2013,,12/18/2012,3/7/2013,Research Complete,,Investment Triple Net,12/17/2012,18950000,Confirmed,Sold,,,,,Distribution,"5847 San Felipe St, 4400",Houston,Verde Realty,Ronald Blankenship,7133383000,,,TX,San Felipe St,5847,77057,"5847 San Felipe St, 4400",Houston,Verde 4501 Mountain Creek LP,,7133383000,TX,San Felipe St,5847,,,77057,250000,,3 Star,,South Dallas Ind,GTW,Redbird Airport Ind,Single,,,221491,"This 250,000 square foot industrial building was sold for net investment ownership by Angelo Gordon & Co. Building is 100% occupied by American Leather on a long term lease with 14 years remaining. Purchase price was $18,950,000. Cap rate was not available.",,,250000,,,2004,PD-521
6.4,15,,9911000,1089000,11000000,2011,500000,B,,,"3347 Michelson Dr, 200",Irvine,LBA Realty,Bill Kearns,9499559395,,,CA,Michelson Dr,3347,92612,17901 Von Karman Ave,Irvine,Vd Lba Of Ppf Industrial-kiest Bl,John Norton,,CA,Von Karman Ave,17901,,,92614,,,,,,,,,,,,,"25'0""-30'0""",2511900,,,0.463587518,,20120176098,,None,10900000,Hartford Life Ins Co,,,0.463587518,,,,,90,24.76,1078545,,,,32.7035814,Lot 3 blk 1-8024 Kiest Warehouse #1 vol 99075 pg 40,"2323 Victory Ave, 1200",Randy,Baird,Dallas,HFF,2142650880,TX,Victory Ave,2323,,,75219,43,-96.9143108,,52-XD,52,X,D,Dallas/Ft Worth,76,,1163200,,,,,1,,624,,,1,,,,8.024E+14,,1.08,,,,,,,,734046.85,,,36.35,36.35,16.85,,,,5450 W Kiest Blvd,Dallas,Dallas,Southwest Distribution Center,TX,Kiest Blvd,5450,W,W,75236,Industrial,,7/18/2012,,6/19/2012,8/17/2012,Research Complete,,,6/18/2012,18175000,Confirmed,Sold,,,,,Distribution,"28 State St, 10th Floor",Boston,TA Associates Realty,Richard Egan,6174762700,,,MA,State St,28,02109,"28 State St, Floor 10",Boston,The Realty Associates Fund IX LP,,,MA,State St,28,,,02109,500000,,3 Star,,South Dallas Ind,GTW,Redbird Airport Ind,Single,,,511803.44,"5450 W Kiest Boulevard in Dallas, the 500,000 square foot distribution facility fully leased to Freeman Companies, sold on June 18, 2012 for $18.175 million. A source deemed reliable confirmed all information contained in this report. Freeman has occupied this property since 1999 and has 7 years left on their existing lease term. The contact confirmed the cap rate for the transaction is 6.4% which results in a net operating income of $1,163,200. The operating expenses were estimated at $1 per square foot. This was described as a straightforward transaction with no unusual conditions affecting the price. The contract period was about 60 days and the buyer did obtain financing but stated if the loan wasn't finalized in time they would have paid cash.",,,500000,,,1999,IR
,,,5258770,3815470,9074240,2012,470000,,,Masonry,"213 Hamburgo, Piso 19",Mexico DF,Grupo Haddad,Charles Haddad,,,,,Hamburgo,213,06600,213 Hamburgo,Mexico DF,"GH Belt Line, INC",,,,Hamburgo,213,,,06600,,,,,,,,,,,,,,2908023,,,0.497216799,,2.013E+11,,,,,,,0.497216799,,,,,57,18.93,824590,,,,32.9548337,HIRAM VAIL ABST 1511 PG 676 TR 12 ACS 15.00 2626 BELTLINE RD INT20080144520 DD04292008 CO-DC 1511676101200 1CC15116761,"2100 McKinney Ave, 700-900",Jack,Fraker,Dallas,CBRE,2149796100,TX,McKinney Ave,2100,,,75201,,-96.8625671,,,13,C,D,Dallas/Ft Worth,,Cabot/Grupo Haddad,,,,,,,,45,,,3,,,,6.51512E+16,1.41079E+16,,,Carrollton,Dallas,,TX,75006,,,,,38.51,38.51,,,,,2625 E Beltline Rd (2 Properties),Carrollton,Dallas,Cabot/Grupo Haddad,TX,Beltline Rd,2625,E,E,75006,Industrial,,12/12/2013,,9/23/2013,2/11/2014,Research Complete,,Investment Triple Net,9/20/2013,18100000,Confirmed,Sold,,,,,Distribution,"One Beacon St, 1700",Boston,"Cabot Properties, Inc.",Charles Forbes,6177237400,,,MA,Beacon St,One,02108,1 Beacon St,Boston,"Cabot II-TX1M05, LP",Michael McCarthy,,MA,Beacon St,1,,,02108,470000,,2 Star,,Northwest Dallas Ind,GTJ,N Stemmons/Valwood Ind,Single,,,,"The details of this transaction were confirmed with sources deemed reliable. On 9/20/2013, a portfolio of two properties in Carrollton, TX sold for $18,100,000, or approximately $39 per square foot. This was a triple net investment deal. The subject properties are: 2625 Belt Line Road - 410,000 square foot industrial building constructed in 1967 and features a 20 foot clear height and 22 loading docks and 2 drive-in bays on 14.73 acres. 1705 John Connally Drive - 60,000 square foot industrial building constructed in 1968 and features an 18 foot clear height and 5 loading docks and 1 drive-in bays on 4.2 acres.",,,410000,,,,
8.07,,,9223330,2469529,11692859,2011,282246,,,Masonry,"One Beacon St, 1700",Boston,"Cabot Properties, Inc.",Andrew Ebbott,6177237400,,,MA,Beacon St,One,02108,1 Beacon St,Boston,"Cabot III-TX1M05-M06, LP",,,MA,Beacon St,1,,,02108,,,,,,,,,,,,,,2507851,,,0.135712712,"Features Redundant, Self-Healing Fiber Optic Network.",585300,,,,,,,0.139150375,,,,,78,17.61,767091,,,,33.0103171,Lot 4 blk 1 Final Plat of Plano Tech Center vol M pg 49,"2323 Victory Ave, 1200",Robby,Rieke,Dallas,HFF,2142650880,TX,Victory Ave,2323,,,75219,,-96.6681807,,,,,,Dallas/Ft Worth,86,Plano Tech Center,1452600,,,,,,,,,,7,,,,R2098943,R2098942,,,Plano,Collin,,TX,75074,,,,,,,,,,,900 Klein Rd (3 Properties),Plano,Collin,Plano Tech Center,TX,Klein Rd,900,,,75074,Mixed,,8/13/2012,,5/18/2012,8/17/2012,Research Complete,,,5/17/2012,18000000,Confirmed,Sold,,,,,Distribution,"101 California St, 2600",San Francisco,Deutsche Asset & Wealth Management,James Toney,4157813300,,,CA,California St,101,94111,,,"RREEF America REIT II Portfolio, L.P.",,4157813300,,,,,,,282246,,4 Star,,Northeast Dallas Ind,GTT,Plano Ind,Single,,,493445.36,"800, 900 and 1000 Klein Road in Plano, three buildings totaling 282,246 square feet and located in Plano Tech Center, sold on May 17, 2012 for $18 million. 800 Klein Road, building 4, is a 74,038 square foot multi-tenant building. One tenant has a lease expiring in October 2012. 900 Klein Road, building 5, is a 104,104 square foot single-tenant building leased to Luminator Technology. 1000 Klein Road, building 6, is a 104,104 square foot single tenant building fully leased to Samsung Telecommunications. Other than the tenant in building 4 with an upcoming lease expiration, the remaining tenants have at least 4 years remaining on their lease term. The deal was described as straightfoward with no unusual conditions affecting the price. The cap rate was confirmed to be 8.07% which equates to a net operating income of $1,452,600. The operating expenses for the portfolio were estimated at $1.75 per square foot. The contract period was about 40 days and the buyer paid cash.",,,104104,,,,
7.5,19,,8892060,1907940,10800000,2010,378000,B,,Reinforced Concrete,"385 Inverness Pky, 460",Englewood,Huntington Industrial Partners,,7202336966,,,CO,Inverness Pky,385,80112,,,605 South Royal Lane LP,Jeff Jones,,,,,,,,,,,,,,,,,,,,"28'0""",2145392,,,0.33806316,,2.011E+11,15214500,Yes,,,,,0.495565214,,,,1632749,82,17.52,763171,,,,32.9591194,"William K Payne Survey Abs No. 1140, the TJ Thweatt Srvuey Abs. No. 1753 and the SA & MGRR Survey Abs. No. 1439. Lot 3R of replat of Freeport North, in Vol 95245, Pg 2050 Dallas Cty Plat Records","5001 Spring Valley Rd, 400W",John,Fulton,Dallas,Transwestern Dallas,9727742500,TX,Spring Valley Rd,5001,,,75244,35,-97.0228327,,11-BD,11,B,D,Dallas/Ft Worth,,,1141087.7,,,,,1,,147,,,2,,,,180016700003R0000,,0.39,9,,,,,,,868407.53,,,40.25,40.25,19.94,,,7.5,650 S Royal Ln,Coppell,Dallas,Freeport North,TX,Royal Ln,650,S,S,75019,Industrial,,7/18/2011,,7/8/2011,7/22/2011,Research Complete,,Sale Leaseback,7/8/2011,15214500,Confirmed,Sold,,,,,Warehouse,"650 S Royal Ln, 100",Coppell,"Craftmade International, Inc.",,9723933800,,S,TX,Royal Ln,650,75019,650 S Royal Ln,Coppell,CM Real Estate LLC,Andy Winters,,TX,Royal Ln,650,,S,75019,378000,,3 Star,,DFW Airport Ind,GSY,E DFW Air/Las Colinas Ind,Single,,,491661.3,"This comparable report was confirmed with a source deemed reliable. On July 8, 2011 the Craftmade International Building was sold for a confirmed all-cash price of $15,214,500. It was confirmed that the 378,000 SF building was sold by the owner in a sale leaseback transaction at a 7.5 cap rate. There were 12 free months in the 10 year lease. The expenses were reported at $1.30/SF. The source stated that the deal made sense for both the buyer and the seller, and that the buyer particularly liked the submarket, new construction, and good credit tenant. The two parties had a long-term relationship prior to the sale, but this was an armÉ??s length market transaction. The buyer is a joint venture between a private REIT and a property management company. The specifics of the JV were not disclosed.",,,258000,,,1995,"LI, Coppell"
8.78,,,4511670,3861650,8373320,2013,446422,C,,Masonry,"700 W 47th St, 200",Kansas City,"Block Real Estate Services, LLC","Michael Block, CPM",8167561400,,W,MO,47th St,700,64112,"700 W 47th St, 200",Kansas City,BC Investors Carrolton LLC,Grant Reves,8167561400,MO,47th St,700,,W,64112,"700 W 47th St, 200",Stephen,Block,Kansas City,"Block Real Estate Services, LLC",8167561400,MO,47th St,700,,W,64112,,2908340,,,0.198432564,Building was constructed as an automotive parts distribution center for Chrysler Automotive Parts and was expanded in 1989. Formerly rail served.,2.01312E+12,4075000,,,,,,0.198432564,,,11.39,1295050,53,29.55,1287198,,,,32.9548218,SURVEY 0278 SEC 00 TWN 47 RANGE 6,"1717 McKinney Ave, 900",Thomas,Pearson,Dallas,Colliers International,2146921100,TX,McKinney Ave,1717,,,75202,,-96.8806533,,,13,B,D,Dallas/Ft Worth,187,Chrysler Parts Distribution Center,1295050,,,,,,,248,,,2,,,,09M-32-0040,140170100A0010000,,10.077161,,,Chrysler Parts Distribution Center,,,,,,,33.04,33.04,,,,,2205 E Belt Line Rd (2 Properties),,,Chrysler Parts Distribution Center,,Belt Line Rd,2205,E,E,,Industrial,,12/13/2013,,12/12/2013,1/3/2014,Research Complete,,"Bulk/Portfolio Sale, Investment Triple Net",12/11/2013,14750000,Confirmed,Sold,,,,,Distribution,321 Railroad Ave,Greenwich,"Urstadt Biddle Properties, Inc.",Charles Urstadt,2038638200,,,CT,Railroad Ave,321,06830,321 Railroad Ave,Greenwich,"Urstadt Biddle Properties, Inc.",,2038638200,CT,Railroad Ave,321,,,06830,446422,,3 Star,,Northwest Dallas Ind,GTJ,N Stemmons/Valwood Ind,Single,,,361430.32,"This transaction represents the sale of two net leased properties which sold on December 6, 2013. The total confirmed sale price is $14,750,000. The two buildings were sold as a package and they were not individually valued and the square footage and price have been verified by a contact for the buyer. These are net leased buildings and the Capitalization Rate is 8.78%, as per a buyer contact, which equates to a Net Operating Income of $1,295,050 (this is the Gross Scheduled Income as well). The Real Estate Taxes were not provided nor the Operating Expenses. The Taxes (as per public records) are $153,390.37 approximately for the Texas property and $208,139.95 for the Missouri property. These two were added together for a total of $361,430.32 and in the Income/Expense tab were added as Other Income to compensate. The two properties are: 2205 E. Belt Line Road is a 255,310 square foot warehouse situated on approximately 13.58 acres. The property has 18 dock doors and a 185 foot truck court. Column spacing is 48É?? x 48É?? and the clear height is 24É??. Located in the Northwest Dallas Industrial submarket, this property is leased through January 31, 2023. 5790 Campus Drive is a 192,451 square foot warehouse situated on approximately 15.97 acres. The property has 17 dock doors and 1 grade level ramp. Column spacing is 48É?? x 48É?? and the clear height is 24É??. Located in the city of Hazelwood just outside of St. Louis, this property is located in one of the strongest industrial markets in the southwest, containing 243 million square feet. This property is leased through January 31, 2023. The deeds are not available to CoStar as of yet. There were two loans from Standard Insurance; one in the amount of $4,725,000 and the other in the amount of $5,950,000. The terms were not disclosed. An old Press Release with square footage details from the seller has been attached. The seller owned this for over 40 years and was the successor to a REIT which sold themselves to Urstadt Biddle Properties, Inc. The REIT was HRE Properties, Inc. based on research. At a board of directors meeting on Dec 17, 1997, Urstadt suggested changing HRE to Urstadt Biddle Properties, Inc. The name became official on March 11, 1998 and the stock symbol was created UBP. This was under contract for approximately 5 months.",,,255422,,,,
7.5,,,7292862,1707138,9000000,2012,539007,C,,Masonry,"140 Broadway, 43rd Floor",New York,KTR Capital Partners LP,,2127105060,,,NY,Broadway,140,10005,"300 Barr Harbor Dr, 150",Conshohocken,KTR Property Trust III,,,PA,Barr Harbor Dr,300,,,19428,"16479 Dallas Pky, 750",Michelle,Hudson,Addison,Hudson Peters Commercial,9729801188,TX,Dallas Pky,16479,,,75001,,2813256,,,0.052633829,,,13750000,,,,,,0.054668906,,,,,81,78.4,3415104,,,,32.7511995,GSID COMM #2 INST #1 SITE 1R,"2221 E Lamar Blvd, 170",John,Brewer,Arlington,CBRE,8179874400,TX,Lamar Blvd,2221,,E,76006,,-97.0533256,,,,,,Dallas/Ft Worth,27,Great Southwest Distribution Center,1031250,,,,,,,,,,8,,,,6356265,,,0.962448,Arlington,Tarrant,,TX,76011,,,,,25.51,25.51,,,,,600 109th St (3 Properties),Arlington,Tarrant,Great Southwest Distribution Center,TX,109th St,600,,,76011,Industrial,,8/13/2013,,,9/11/2013,Research Complete,,,8/13/2013,13750000,Confirmed,Sold,,,,,Distribution,534 Eccles Ave,South San Francisco,"Better Home Products, Ltd.",Kenneth Sale,6508279270,,,CA,Eccles Ave,534,94080,534 Eccles Ave,South San Francisco,"BHP Sale Builders Hardware, Ltd",,,CA,Eccles Ave,534,,,94080,539007,,2 Star,,Great SW/Arlington Ind,GTD,Lower Great Southwest Ind,Multi,,,529766.88,"The information in this sale comparable report has been verified with sources deemed reliable on both sides of the transaction. On August 13th, 2013, KTR Capital Partners completed the acquisition of approximately 543,000 square feet of industrial space within a three building distribution center previously owned by Better Home Products. With the drag area the property size is closer to 570,000 square feet. The asset was 100% leased at the time of sale. The three properties sold for $13.75 million. This number was confirmed with a source close to the deal. The transaction traded at a capitalization rate of 7.5% based on an estimated in-place net operating income of $1.031 million. The buyer did not take financing on the transaction. The seller, Better Home Products is leasing back approximately 165,000 square feet from the buyer for a term greater than five years. The seller was represented by John Brewer and Brian Gilchrist of CBRE and the buyer was represented by Michelle Hudson of Hudson Peters Commercial.",,,179750,,,,
,,,6939350,1460650,8400000,2012,300950,B,,Masonry,"8333 Douglas Ave, 1350",Dallas,Quadrant Capital,Chad Cook,2148552948,,,TX,Douglas Ave,8333,75225,"8333 Douglas Ave, 1350",Dallas,"Quadrant Investment Properties, LLC",,2148552948,TX,Douglas Ave,8333,,,75225,"15455 Dallas Pky, 400",Adam,Graham,Addison,Lee & Associates,9729344000,TX,Dallas Pky,15455,,,75001,,2798167,,,0.08728667,,20130225780,,,,,,,0.08728667,,,,,82,16.77,730501,,,,32.8244624,,"1431 Greenway Dr, 350",Ryan,Boozer,Irving,Mercer Company,2146307010,TX,Greenway Dr,1431,,,75038,,-96.9050477,,,32,Q,D,Dallas/Ft Worth,126,Union Bower Business Park,,,,,,,,45,,,25,,,,325510000001R0000,32551000014R10000,,15.055753,Irving,Dallas,,TX,75061,,,,,43.53,43.53,,,,,1001 Union Bower Ct (6 Properties),Irving,Dallas,Union Bower Business Park,TX,Union Bower Ct,1001,,,75061,Industrial,,7/24/2013,,7/17/2013,9/18/2013,Research Complete,,,7/17/2013,13100000,Confirmed,Sold,,,,,Warehouse,"5700 Crooks Rd, 400",Troy,The Hayman Company,John Cohen,2488797777,,,MI,Crooks Rd,5700,48098,"5700 Crooks Rd, 400",Troy,Business Park At Union,,2488797777,MI,Crooks Rd,5700,,,48098,300950,,3 Star,,South Stemmons Ind,GUI,West Brookhollow Ind,Multi,,,,"On the 17th of July 2013, the Union Bower Business Park in Irving, Texas was sold for $13.1 million to an owner-user. The six building office complex contains 302,16 of square feet of rentable building area. The buyer intends to renovate the space. The Mercer Company advised the seller on this transaction. Lee & Associated advised the buyer on this transaction. Information from this comp has been confirmed.",,,63763,,,,
,16,,8772764,2566236,11339000,2012,391343,A,,Masonry,"140 W Germantown Pike, 150",Plymouth Meeting,Exeter Property Group,Ward Fitzgerald,6108283200,,W,PA,Germantown Pike,140,19462,140 W Germantown Pike,Plymouth Meeting,Exeter 1990 Lakepointe LP,,,PA,Germantown Pike,140,,W,19462,"4851 Lyndon B Johnson Fwy, 1000",Tyson,Erwin,Dallas,NAI Robert Lynn,2142567100,TX,Lyndon B Johnson Fwy,4851,,,75244,"28'0""",2667767,,,0.495614302,,13-000860,,ESFR,,,,,0.495614302,,,,,77,18.13,789612,,,,33.0140188,,,,,,,,,,,,,,72,-96.9732685,,651-ZD,651,Z,D,Dallas/Ft Worth,,,,,,,,1,,330,,,1,,,,R194887,,0.84,,,,,,,,717162.24,,,33.22,33.22,16.46,,,,1990 Lakepointe Dr,Lewisville,Denton,Lakepointe Distribution Center,TX,Lakepointe Dr,1990,,,75057,Industrial,,2/3/2013,,1/3/2013,2/25/2013,Research Complete,,High Vacancy Property,12/27/2012,13000000,Approximate,Sold,,,,,Distribution,1990 Lakepointe Dr,Lewisville,H.T. Ardinger & Sons Imports,H.T. Ardinger,2146319830,,,TX,Lakepointe Dr,1990,75057,,,Ardinger Properties LLC,,,,,,,,,391343,,4 Star,,Northwest Dallas Ind,GTC,Lewisville Ind,Multi,,,243059.06,"This transaction represents the sale of the Lakepointe Distribution Center on 1990 Lakepointe Dr Lewisville, TX. This 405,000 square foot industrial building sold for approximately $13,000,000 on December 27, 2012. Sources deemed reliable were able to confirm some detail of the transaction. The seller was occupying the property at the time of sale, however, the seller had discontinued operations at the location and was in the process of moving out when the property sold.",,,391343,,31.87,1998,"LI, Lewisville"
,,,7853380,1819120,9672500,,249025,,,Masonry,"1222 E Arapaho Rd, 314",Richardson,"PS Business Parks, Inc.",,9729073610,,E,TX,Arapaho Rd,1222,75081,,,,Jeff Paschal,,,,,,,,,,,,,,,,,,,,,2886767,,,0.026305075,"* Near LBJ Freeway, Interstate 35E",20130348054,,,,,,,0.056623002,,,,,81,27.46,1196157,,,,32.9435206,,"2001 Ross Ave, 2800",Jamie,Jennings,Dallas,"Stream Realty Partners, L.P.",2142670400,TX,Ross Ave,2001,,,75201,,-96.9241527,,,12,E,D,Dallas/Ft Worth,534,Valwood Industrial Flex Park,,,,,,,,200,,,35,,,,1.40171E+16,1.41087E+16,,,Carrollton,Dallas,,TX,75006,,,,,,,,,,,1505 Luna Rd (9 Properties),Carrollton,Dallas,Valwood Industrial Flex Park,TX,Luna Rd,1505,,,75006,Mixed,,11/13/2013,,11/8/2013,11/26/2013,Research Complete,,,11/8/2013,12400000,Confirmed,Sold,,,,,R&D,"311 S Wacker Dr, 3900",Chicago,"First Industrial Realty Trust, Inc.",,3123444300,,S,IL,Wacker Dr,311,60606,"311 S Wacker Dr, 4000",Chicago,"First Industrial Texas, LP",,9723864700,IL,Wacker Dr,311,,S,60606,249025,,3 Star,,Northwest Dallas Ind,GTJ,N Stemmons/Valwood Ind,Multi,,,,"The information in this sale comparable report has been verified with sources deemed reliable on both sides of the transaction. On November 8th, 2013, PS Business Parks, Inc. completed the acquisition of nine industrial flex buildings in the Valwood Industrial Park totaling approximately 245,000 square feet. The buildings are located adjacent to other industrial parks owned by PS Business Parks. The assets are collectively 83.5% leased. The assets were acquired for a confirmed price of $12.4 million. Information regarding income or expense data was not made available at the time of publication of this report. Jamie Jennings, Seth Koschak, Blake Kendrick of Stream Realty Partners, L.P. represented the seller on the transaction.",,,31465,,,,
